,ZIP,mean,Crime rate status
0,85003.0,2016-11-29 05:01:11.078755840,no change
1,85004.0,2016-11-16 18:53:58.613981696,no change
2,85006.0,2016-11-25 07:28:01.469480192,no change
3,85007.0,2016-11-13 06:30:00.360721664,no change
4,85008.0,2016-11-23 06:45:05.374128128,no change
5,85009.0,2016-11-23 00:53:50.557377024,no change
6,85012.0,2016-11-30 02:18:46.585662208,no change
7,85013.0,2016-11-24 22:50:58.379530752,no change
8,85014.0,2016-10-31 07:50:36.560846592,no change
9,85015.0,2016-11-07 09:20:10.824786944,no change
10,85016.0,2016-11-02 02:11:28.043305984,no change
11,85017.0,2016-11-16 23:32:16.974349312,no change
12,85018.0,2016-10-28 20:49:34.527662592,no change
13,85019.0,2016-11-06 14:23:56.553524736,no change
14,85020.0,2016-11-20 04:55:42.417815552,no change
15,85021.0,2016-11-28 09:28:26.039068160,no change
16,85022.0,2016-11-17 13:22:48.003360512,no change
17,85023.0,2016-10-27 18:59:08.014274816,no change
18,85024.0,2016-11-12 15:36:09.762930944,no change
19,85027.0,2016-11-01 18:11:53.759502336,no change
20,85028.0,2016-11-14 10:31:31.290322688,no change
21,85029.0,2016-11-09 05:08:04.111786240,no change
22,85031.0,2016-11-13 16:24:52.995639040,no change
23,85032.0,2016-11-18 22:55:47.759384576,no change
24,85033.0,2016-11-21 02:27:07.996232704,no change
25,85034.0,2016-11-24 18:27:48.580060416,no change
26,85035.0,2016-11-24 18:41:49.301540352,no change
27,85037.0,2016-12-02 00:43:38.401598464,no change
28,85040.0,2016-11-11 21:16:37.126192896,no change
29,85041.0,2016-11-14 23:44:47.453847552,no change
30,85042.0,2016-11-04 04:22:31.721242624,no change
31,85043.0,2016-11-29 09:34:08.583333376,no change
32,85044.0,2016-11-21 19:29:28.453930240,no change
33,85045.0,2016-12-12 20:54:29.166666752,no change
34,85048.0,2016-11-26 20:07:22.552693248,no change
35,85050.0,2016-11-12 00:39:30.975143424,no change
36,85051.0,2016-11-05 01:44:37.852348928,no change
37,85053.0,2016-11-17 05:55:11.982292224,no change
38,85054.0,2016-11-06 08:12:57.278106624,no change
39,85083.0,2016-10-02 11:46:24.864864768,no change
40,85085.0,2016-11-07 04:55:55.973597440,no change
41,85086.0,2016-11-13 11:31:25.359116032,no change
42,85087.0,2017-01-26 03:49:34.588235264,increased
43,85201.0,2016-03-24 14:56:40.000000000,no change
44,85202.0,2016-11-25 03:36:30.000000000,no change
45,85203.0,2016-05-03 15:00:00.000000000,no change
46,85204.0,2017-01-15 12:00:00.000000000,increased
47,85210.0,2016-05-25 19:00:00.000000000,no change
48,85212.0,2017-10-30 19:10:00.000000000,increased
49,85213.0,2017-03-02 12:35:00.000000000,increased
50,85215.0,2016-12-18 02:00:00.000000000,no change
51,85224.0,2016-05-05 22:15:00.000000000,no change
52,85225.0,2016-05-23 02:08:20.000000000,no change
53,85226.0,2016-10-08 00:30:00.000000000,no change
54,85233.0,2017-10-03 11:00:00.000000000,increased
55,85234.0,2016-11-18 20:00:00.000000000,no change
56,85248.0,2016-06-15 11:00:00.000000000,no change
57,85251.0,2016-11-22 16:08:04.528301824,no change
58,85253.0,2016-10-28 05:44:24.285714432,no change
59,85254.0,2016-11-05 15:23:35.958188288,no change
60,85255.0,2016-11-02 13:52:04.186046464,no change
61,85257.0,2016-12-17 00:10:45.000000000,no change
62,85258.0,2016-03-13 09:15:00.000000000,no change
63,85260.0,2017-01-06 13:48:52.500000000,increased
64,85266.0,2016-03-17 18:00:00.000000000,no change
65,85268.0,2015-12-19 11:00:00.000000000,decreased
66,85281.0,2016-11-21 05:21:10.000000000,no change
67,85282.0,2016-10-11 18:50:20.000000000,no change
68,85283.0,2017-01-29 20:36:00.000000000,increased
69,85286.0,2017-01-01 04:45:00.000000000,increased
70,85290.0,2016-07-04 15:00:00.000000000,no change
71,85295.0,2016-10-26 10:00:00.000000000,no change
72,85296.0,2016-12-19 20:59:40.000000000,no change
73,85301.0,2016-09-20 10:24:01.538461696,no change
74,85302.0,2016-12-12 06:55:39.999999744,no change
75,85303.0,2016-12-09 10:21:36.923077120,no change
76,85304.0,2016-11-14 11:19:57.400000000,no change
77,85305.0,2017-04-09 13:09:00.000000000,increased
78,85306.0,2016-12-01 09:44:03.741935616,no change
79,85307.0,2016-12-18 10:03:56.018957312,no change
80,85308.0,2016-11-15 23:21:09.564411392,no change
81,85310.0,2016-11-03 13:35:51.056910592,no change
82,85323.0,2016-09-17 21:28:30.000000000,no change
83,85326.0,2017-02-01 01:00:00.000000000,increased
84,85331.0,2016-11-03 19:05:26.550522624,no change
85,85335.0,2017-09-12 18:44:00.000000000,increased
86,85337.0,2017-01-30 20:35:00.000000000,increased
87,85338.0,2017-07-26 10:30:00.000000000,increased
88,85339.0,2016-11-20 23:24:08.072289024,no change
89,85345.0,2016-09-10 14:57:48.000000000,no change
90,85353.0,2016-11-29 14:53:57.676843008,no change
91,85363.0,2015-12-01 00:01:00.000000000,decreased
92,85381.0,2016-01-28 22:57:00.000000000,no change
93,85382.0,2016-04-11 16:22:30.000000000,no change
94,85383.0,2017-04-23 04:54:30.000000000,increased
95,85392.0,2016-12-16 02:19:37.500000000,no change
96,85395.0,2016-01-18 20:52:30.000000000,no change
97,85396.0,2017-08-23 23:50:15.000000000,increased
