,ZIP,UCR_CRIME_CATEGORY,year,occurrances_per_year
0,85003.0,LARCENY-THEFT,2017,356
1,85003.0,LARCENY-THEFT,2016,322
2,85003.0,DRUG OFFENSE,2016,96
3,85003.0,DRUG OFFENSE,2017,88
4,85003.0,BURGLARY,2017,81
5,85003.0,LARCENY-THEFT,2015,79
6,85003.0,BURGLARY,2016,73
7,85003.0,AGGRAVATED ASSAULT,2017,64
8,85003.0,MOTOR VEHICLE THEFT,2017,62
9,85003.0,MOTOR VEHICLE THEFT,2016,59
10,85003.0,AGGRAVATED ASSAULT,2016,50
11,85003.0,ROBBERY,2017,45
12,85003.0,ROBBERY,2016,28
13,85003.0,BURGLARY,2015,25
14,85003.0,RAPE,2016,22
15,85003.0,RAPE,2017,22
16,85003.0,DRUG OFFENSE,2015,9
17,85003.0,MOTOR VEHICLE THEFT,2015,7
18,85003.0,AGGRAVATED ASSAULT,2015,6
19,85003.0,ROBBERY,2015,5
20,85003.0,ARSON,2016,4
21,85003.0,RAPE,2015,3
22,85003.0,ARSON,2017,3
23,85003.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2016,2
24,85004.0,LARCENY-THEFT,2016,493
25,85004.0,LARCENY-THEFT,2017,442
26,85004.0,MOTOR VEHICLE THEFT,2016,77
27,85004.0,AGGRAVATED ASSAULT,2017,69
28,85004.0,DRUG OFFENSE,2016,68
29,85004.0,BURGLARY,2016,67
30,85004.0,BURGLARY,2017,67
31,85004.0,LARCENY-THEFT,2015,67
32,85004.0,ROBBERY,2016,48
33,85004.0,ROBBERY,2017,45
34,85004.0,MOTOR VEHICLE THEFT,2017,43
35,85004.0,AGGRAVATED ASSAULT,2016,42
36,85004.0,DRUG OFFENSE,2017,41
37,85004.0,RAPE,2016,23
38,85004.0,RAPE,2017,11
39,85004.0,AGGRAVATED ASSAULT,2015,8
40,85004.0,BURGLARY,2015,8
41,85004.0,MOTOR VEHICLE THEFT,2015,6
42,85004.0,DRUG OFFENSE,2015,5
43,85004.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2017,3
44,85004.0,RAPE,2015,3
45,85004.0,ROBBERY,2015,3
46,85004.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2016,2
47,85004.0,ARSON,2016,2
48,85004.0,ARSON,2017,1
49,85004.0,ARSON,2015,1
50,85006.0,LARCENY-THEFT,2017,567
51,85006.0,LARCENY-THEFT,2016,558
52,85006.0,BURGLARY,2017,220
53,85006.0,BURGLARY,2016,206
54,85006.0,MOTOR VEHICLE THEFT,2016,151
55,85006.0,AGGRAVATED ASSAULT,2016,126
56,85006.0,MOTOR VEHICLE THEFT,2017,123
57,85006.0,AGGRAVATED ASSAULT,2017,105
58,85006.0,DRUG OFFENSE,2017,91
59,85006.0,DRUG OFFENSE,2016,78
60,85006.0,ROBBERY,2016,78
61,85006.0,LARCENY-THEFT,2015,75
62,85006.0,ROBBERY,2017,67
63,85006.0,RAPE,2017,41
64,85006.0,RAPE,2016,41
65,85006.0,BURGLARY,2015,40
66,85006.0,MOTOR VEHICLE THEFT,2015,16
67,85006.0,AGGRAVATED ASSAULT,2015,16
68,85006.0,ARSON,2017,14
69,85006.0,DRUG OFFENSE,2015,9
70,85006.0,RAPE,2015,8
71,85006.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2016,7
72,85006.0,ROBBERY,2015,6
73,85006.0,ARSON,2016,4
74,85006.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2017,3
75,85006.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2015,2
76,85006.0,ARSON,2015,2
77,85007.0,LARCENY-THEFT,2016,376
78,85007.0,LARCENY-THEFT,2017,327
79,85007.0,BURGLARY,2016,165
80,85007.0,DRUG OFFENSE,2016,145
81,85007.0,AGGRAVATED ASSAULT,2017,125
82,85007.0,DRUG OFFENSE,2017,114
83,85007.0,BURGLARY,2017,112
84,85007.0,AGGRAVATED ASSAULT,2016,93
85,85007.0,MOTOR VEHICLE THEFT,2016,92
86,85007.0,ROBBERY,2017,70
87,85007.0,MOTOR VEHICLE THEFT,2017,69
88,85007.0,LARCENY-THEFT,2015,53
89,85007.0,ROBBERY,2016,43
90,85007.0,BURGLARY,2015,33
91,85007.0,RAPE,2016,32
92,85007.0,RAPE,2017,31
93,85007.0,DRUG OFFENSE,2015,28
94,85007.0,MOTOR VEHICLE THEFT,2015,19
95,85007.0,AGGRAVATED ASSAULT,2015,16
96,85007.0,ROBBERY,2015,16
97,85007.0,ARSON,2016,11
98,85007.0,ARSON,2017,10
99,85007.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2016,7
100,85007.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2017,6
101,85007.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2015,2
102,85007.0,RAPE,2015,1
103,85008.0,LARCENY-THEFT,2016,1494
104,85008.0,LARCENY-THEFT,2017,1466
105,85008.0,BURGLARY,2016,458
106,85008.0,BURGLARY,2017,404
107,85008.0,MOTOR VEHICLE THEFT,2016,373
108,85008.0,MOTOR VEHICLE THEFT,2017,319
109,85008.0,DRUG OFFENSE,2016,270
110,85008.0,AGGRAVATED ASSAULT,2017,252
111,85008.0,AGGRAVATED ASSAULT,2016,237
112,85008.0,LARCENY-THEFT,2015,231
113,85008.0,DRUG OFFENSE,2017,226
114,85008.0,ROBBERY,2016,125
115,85008.0,ROBBERY,2017,116
116,85008.0,BURGLARY,2015,69
117,85008.0,RAPE,2016,53
118,85008.0,RAPE,2017,41
119,85008.0,MOTOR VEHICLE THEFT,2015,36
120,85008.0,AGGRAVATED ASSAULT,2015,25
121,85008.0,ROBBERY,2015,21
122,85008.0,ARSON,2017,21
123,85008.0,DRUG OFFENSE,2015,19
124,85008.0,ARSON,2016,18
125,85008.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2017,13
126,85008.0,RAPE,2015,9
127,85008.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2016,6
128,85008.0,ARSON,2015,5
129,85008.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2015,1
130,85009.0,LARCENY-THEFT,2016,1002
131,85009.0,LARCENY-THEFT,2017,986
132,85009.0,BURGLARY,2016,441
133,85009.0,MOTOR VEHICLE THEFT,2016,417
134,85009.0,BURGLARY,2017,409
135,85009.0,MOTOR VEHICLE THEFT,2017,376
136,85009.0,DRUG OFFENSE,2016,325
137,85009.0,AGGRAVATED ASSAULT,2017,274
138,85009.0,DRUG OFFENSE,2017,254
139,85009.0,LARCENY-THEFT,2015,188
140,85009.0,AGGRAVATED ASSAULT,2016,176
141,85009.0,ROBBERY,2017,144
142,85009.0,ROBBERY,2016,138
143,85009.0,BURGLARY,2015,82
144,85009.0,MOTOR VEHICLE THEFT,2015,71
145,85009.0,DRUG OFFENSE,2015,39
146,85009.0,RAPE,2016,37
147,85009.0,RAPE,2017,33
148,85009.0,AGGRAVATED ASSAULT,2015,29
149,85009.0,ROBBERY,2015,23
150,85009.0,ARSON,2017,17
151,85009.0,ARSON,2016,8
152,85009.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2016,8
153,85009.0,RAPE,2015,8
154,85009.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2017,5
155,85012.0,LARCENY-THEFT,2017,225
156,85012.0,LARCENY-THEFT,2016,202
157,85012.0,BURGLARY,2016,69
158,85012.0,BURGLARY,2017,63
159,85012.0,MOTOR VEHICLE THEFT,2016,36
160,85012.0,LARCENY-THEFT,2015,34
161,85012.0,DRUG OFFENSE,2016,33
162,85012.0,DRUG OFFENSE,2017,29
163,85012.0,AGGRAVATED ASSAULT,2017,21
164,85012.0,ROBBERY,2017,18
165,85012.0,MOTOR VEHICLE THEFT,2017,17
166,85012.0,AGGRAVATED ASSAULT,2016,17
167,85012.0,ROBBERY,2016,15
168,85012.0,RAPE,2016,13
169,85012.0,BURGLARY,2015,12
170,85012.0,DRUG OFFENSE,2015,4
171,85012.0,RAPE,2017,3
172,85012.0,AGGRAVATED ASSAULT,2015,3
173,85012.0,ROBBERY,2015,2
174,85012.0,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2017,2
175,85012.0,MOTOR VEHICLE THEFT,2015,2
176,85012.0,ARSON,2016,1
177,85012.0,RAPE,2015,1
178,85012.0,ARSON,2017,1
179,85013.0,LARCENY-THEFT,2016,739
180,85013.0,LARCENY-THEFT,2017,724
181,85013.0,BURGLARY,2016,242
182,85013.0,BURGLARY,2017,208
183,85013.0,MOTOR VEHICLE THEFT,2016,122
184,85013.0,LARCENY-THEFT,2015,105
185,85013.0,MOTOR VEHICLE THEFT,2017,87
186,85013.0,DRUG OFFENSE,2016,85
187,85013.0,DRUG OFFENSE,2017,84
188,85013.0,AGGRAVATED ASSAULT,2016,77
189,85013.0,AGGRAVATED ASSAULT,2017,77
190,85013.0,ROBBERY,2017,67
191,85013.0,ROBBERY,2016,60
192,85013.0,BURGLARY,2015,33
193,85013.0,RAPE,2016,26
